time,value
0.0,8388607
0.002,8388607
0.004,8388607
0.006,8388607
0.008,8388607
0.01,8388607
0.012,8388607
0.014,8388607
0.016,8388607
0.018000000000000002,8388607
0.02,8388607
0.022,8388607
0.024,8388607
0.026000000000000002,8388607
0.028,8388607
0.03,8388607
0.032,8388607
0.034,8388607
0.036000000000000004,8388607
0.038,8388607
0.04,8388607
0.042,8388607
0.044,8388607
0.046,8388607
0.048,8388607
0.05,8388607
0.052000000000000005,8388607
0.054,8388607
0.056,8388607
0.058,8388607
0.06,8388607
0.062,8388607
0.064,8388607
0.066,8388607
0.068,8388607
0.07,8388607
0.07200000000000001,8388607
0.074,8388607
0.076,8388607
0.078,8388607
0.08,8388607
0.082,8388607
0.084,8388607
0.08600000000000001,8388607
0.088,8388607
0.09,8388607
0.092,8388607
0.094,8388607
0.096,8388607
0.098,8388607
0.1,8388607
0.10200000000000001,8388607
0.10400000000000001,8388607
0.106,8388607
0.108,8388607
0.11,8388607
0.112,8388607
0.114,8388607
0.116,8388607
0.11800000000000001,8388607
0.12,8388607
0.122,8388607
0.124,8388607
0.126,8388607
0.128,8388607
0.13,8388607
0.132,8388607
0.134,8388607
0.136,8388607
0.138,8388607
0.14,8388607
0.14200000000000002,8388607
0.14400000000000002,8388607
0.146,8388607
0.148,8388607
0.15,8388607
0.152,8388607
0.154,8388607
0.156,8388607
0.158,8388607
0.16,8388607
0.162,8388607
0.164,8388607
0.166,8388607
0.168,8388607
0.17,8388607
0.17200000000000001,8388607
0.17400000000000002,8388607
0.176,8388607
0.178,8388607
0.18,8388607
0.182,8388607
0.184,8388607
0.186,8388607
0.188,8388607
0.19,8388607
0.192,8388607
0.194,8388607
0.196,8388607
0.198,8388607
0.2,8388607
0.202,8388607
0.20400000000000001,8388607
0.20600000000000002,8388607
0.20800000000000002,8388607
0.21,8388607
0.212,8388607
0.214,8388607
0.216,8388607
0.218,8388607
0.22,8388607
0.222,8388607
0.224,8388607
0.226,8388607
0.228,8388607
0.23,8388607
0.232,8388607
0.234,8388607
0.23600000000000002,8388607
0.23800000000000002,8388607
0.24,8388607
0.242,8388607
0.244,8388607
0.246,8388607
0.248,8388607
0.25,8388607
0.252,8388607
0.254,8388607
0.256,8388607
0.258,8388607
0.26,8388607
0.262,8388607
0.264,8388607
0.266,8388607
0.268,8388607
0.27,8388607
0.272,8388607
0.274,8388607
0.276,8388607
0.278,8388607
0.28,8388607
0.28200000000000003,8388607
0.28400000000000003,8388607
0.28600000000000003,8388607
0.28800000000000003,8388607
0.29,8388607
0.292,8388607
0.294,8388607
0.296,8388607
0.298,8388607
0.3,8388607
0.302,8388607
0.304,8388607
0.306,8388607
0.308,8388607
0.31,8388607
0.312,8388607
0.314,8388607
0.316,8388607
0.318,8388607
0.32,8388607
0.322,8388607
0.324,8388607
0.326,8388607
0.328,8388607
0.33,8388607
0.332,8388607
0.334,8388607
0.336,8388607
0.338,8388607
0.34,8388607
0.342,8388607
0.34400000000000003,8388607
0.34600000000000003,8388607
0.34800000000000003,8388607
0.35000000000000003,8388607
0.352,8388607
0.354,8388607
0.356,8388607
0.358,8388607
0.36,8388607
0.362,8388607
0.364,8388607
0.366,8388607
0.368,8388607
0.37,8388607
0.372,8388607
0.374,8388607
0.376,8388607
0.378,8388607
0.38,8388607
0.382,8388607
0.384,8388607
0.386,8388607
0.388,8388607
0.39,8388607
0.392,8388607
0.394,8388607
0.396,8388607
0.398,8388607
0.4,8388607
0.402,8388607
0.404,8388607
0.406,8388607
0.40800000000000003,8388607
0.41000000000000003,8388607
0.41200000000000003,8388607
0.41400000000000003,8388607
0.41600000000000004,8388607
0.418,8388607
0.42,8388607
0.422,8388607
0.424,8388607
0.426,8388607
0.428,8388607
0.43,8388607
0.432,8388607
0.434,8388607
0.436,8388607
0.438,8388607
0.44,8388607
0.442,8388607
0.444,8388607
0.446,8388607
0.448,8388607
0.45,8388607
0.452,8388607
0.454,8388607
0.456,8388607
0.458,8388607
0.46,8388607
0.462,8388607
0.464,8388607
0.466,8388607
0.468,8388607
0.47000000000000003,8388607
0.47200000000000003,8388607
0.47400000000000003,8388607
0.47600000000000003,8388607
0.47800000000000004,8388607
0.48,8388607
0.482,8388607
0.484,8388607
0.486,8388607
0.488,8388607
